LISBOA;ARRUDA DOS VINHOS;1102
LISBOA;AZAMBUJA;1103
LISBOA;CADAVAL;1104
LISBOA;CASCAIS;1105
LISBOA;LISBOA;1106
LISBOA;LOURES;1107
LISBOA;LOURINHÃ;1108
LISBOA;MAFRA;1109
LISBOA;OEIRAS;1110
LISBOA;SINTRA;1111
LISBOA;SOBRAL DE MONTE AGRAÇO;1112
LISBOA;TORRES VEDRAS;1113
LISBOA;VILA FRANCA DE XIRA;1114
LISBOA;AMADORA;1115
LISBOA;ODIVELAS;1116
PORTALEGRE;ALTER DO CHÃO;1201
PORTALEGRE;ARRONCHES;1202
PORTALEGRE;AVIS;1203
PORTALEGRE;CAMPO MAIOR;1204
PORTALEGRE;CASTELO DE VIDE;1205
PORTALEGRE;CRATO;1206
PORTALEGRE;ELVAS;1207
PORTALEGRE;FRONTEIRA;1208
PORTALEGRE;GAVIÃO;1209
PORTALEGRE;MARVÃO;1210
PORTALEGRE;MONFORTE;1211
PORTALEGRE;NISA;1212
PORTALEGRE;PONTE DE SOR;1213
PORTALEGRE;PORTALEGRE;1214
PORTALEGRE;SOUSEL;1215
PORTO;AMARANTE;1301
PORTO;BAIÃO;1302
PORTO;FELGUEIRAS;1303
PORTO;GONDOMAR;1304
PORTO;LOUSADA;1305
PORTO;MAIA;1306
PORTO;MARCO DE CANAVESES;1307
PORTO;MATOSINHOS;1308
PORTO;PAÇOS DE FERREIRA;1309
PORTO;PAREDES;1310
PORTO;PENAFIEL;1311
PORTO;PORTO;1312
PORTO;POVOA DE VARZIM;1313
PORTO;SANTO TIRSO;1314
PORTO;VALONGO;1315
PORTO;VILA DO CONDE;1316
PORTO;VILA NOVA DE GAIA;1317
PORTO;TROFA;1318
SANTAREM;ABRANTES;1401
SANTAREM;ALCANENA;1402
SANTAREM;ALMEIRIM;1403
SANTAREM;ALPIARÇA;1404
SANTAREM;BENAVENTE;1405
SANTAREM;CARTAXO;1406
SANTAREM;CHAMUSCA;1407
SANTAREM;CONSTANCIA;1408
SANTAREM;CORUCHE;1409
SANTAREM;ENTRONCAMENTO;1410
SANTAREM;FERREIRA DO ZEZERE;1411
SANTAREM;GOLEGÃ;1412
SANTAREM;MAÇÃO;1413
SANTAREM;RIO MAIOR;1414
SANTAREM;SALVATERRA DE MAGOS;1415
SANTAREM;SANTAREM;1416
SANTAREM;SARDOAL;1417
SANTAREM;TOMAR;1418
SANTAREM;TORRES NOVAS;1419
SANTAREM;VILA NOVA DA BARQUINHA;1420
SANTAREM;OUREM;1421
SETUBAL;ALCACER DO SAL;1501
SETUBAL;ALCOCHETE;1502
SETUBAL;ALMADA;1503
SETUBAL;BARREIRO;1504
SETUBAL;GRANDOLA;1505
SETUBAL;MOITA;1506
SETUBAL;MONTIJO;1507
SETUBAL;PALMELA;1508
SETUBAL;SANTIAGO DO CACEM;1509
SETUBAL;SEIXAL;1510
SETUBAL;SESIMBRA;1511
SETUBAL;SETUBAL;1512
SETUBAL;SINES;1513
VIANA DO CASTELO;ARCOS DE VALDEVEZ;1601
VIANA DO CASTELO;CAMINHA;1602
VIANA DO CASTELO;MELGAÇO;1603
VIANA DO CASTELO;MONÇÃO;1604
VIANA DO CASTELO;PAREDES DE COURA;1605
VIANA DO CASTELO;PONTE DA BARCA;1606
VIANA DO CASTELO;PONTE DE LIMA;1607
VIANA DO CASTELO;VALENÇA;1608
VIANA DO CASTELO;VIANA DO CASTELO;1609
VIANA DO CASTELO;VILA NOVA DE CERVEIRA;1610
VILA REAL;ALIJO;1701
VILA REAL;BOTICAS;1702
VILA REAL;CHAVES;1703
VILA REAL;MESÃO FRIO;1704
VILA REAL;MONDIM DE BASTO;1705
VILA REAL;MONTALEGRE;1706
VILA REAL;MURÇA;1707
VILA REAL;PESO DA REGUA;1708
VILA REAL;RIBEIRA DE PENA;1709
VILA REAL;SABROSA;1710
VILA REAL;SANTA MARTA DE PENAGUIÃO;1711
VILA REAL;VALPAÇOS;1712
VILA REAL;VILA POUCA DE AGUIAR;1713
VILA REAL;VILA REAL;1714
VISEU;ARMAMAR;1801
VISEU;CARREGAL DO SAL;1802
VISEU;CASTRO DAIRE;1803
VISEU;CINFÃES;1804
VISEU;LAMEGO;1805
VISEU;MANGUALDE;1806
VISEU;MOIMENTA DA BEIRA;1807
VISEU;MORTAGUA;1808
VISEU;NELAS;1809
VISEU;OLIVEIRA DE FRADES;1810
VISEU;PENALVA DO CASTELO;1811
VISEU;PENEDONO;1812
VISEU;RESENDE;1813
VISEU;SANTA COMBA DÃO;1814
VISEU;S. JOÃO DA PESQUEIRA;1815
VISEU;S. PEDRO DO SUL;1816
VISEU;SATÃO;1817
VISEU;SERNANCELHE;1818
VISEU;TABUAÇO;1819
VISEU;TAROUCA;1820
VISEU;TONDELA;1821
VISEU;VILA NOVA DE PAIVA;1822
VISEU;VISEU;1823
VISEU;VOUZELA;1824
ANGRA DO HEROISMO;ANGRA DO HEROISMO;1901
ANGRA DO HEROISMO;CALHETA (AÇORES);1902
ANGRA DO HEROISMO;SANTA CRUZ DA GRACIOSA;1903
ANGRA DO HEROISMO;VELAS;1904
ANGRA DO HEROISMO;VILA PRAIA DA VITORIA;1905
HORTA;CORVO;2001
HORTA;LAJES DAS FLORES;2003
HORTA;LAJES DO PICO;2004
HORTA;MADALENA;2005
HORTA;SANTA CRUZ DAS FLORES;2006
HORTA;S. ROQUE DO PICO;2007
PONTA DELGADA;LAGOA (AÇORES);2101
PONTA DELGADA;NORDESTE;2102
PONTA DELGADA;PONTA DELGADA;2103
PONTA DELGADA;POVOAÇÃO;2104
PONTA DELGADA;RIBEIRA GRANDE;2105
PONTA DELGADA;VILA FRANCA DO CAMPO;2106
PONTA DELGADA;VILA DO PORTO;2107
FUNCHAL;CALHETA (MADEIRA);2201
FUNCHAL;CAMARA DE LOBOS;2202
FUNCHAL;FUNCHAL;2203
FUNCHAL;MACHICO;2204
FUNCHAL;PONTA DO SOL;2205
FUNCHAL;PORTO MONIZ;2206
FUNCHAL;PORTO SANTO;2207
FUNCHAL;RIBEIRA BRAVA;2208
FUNCHAL;SANTA CRUZ;2209
FUNCHAL;SANTANA;2210
FUNCHAL;S. VICENTE;2211
